CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1554875,IPO,"Tintri, Inc.","Mountain View, CA",TNTR,Nasdaq NM,2017-06-01,10.5,12.5,$125.1 mil.,"Morgan Stanley, BofA Merrill Lynch, Pacific Crest Securities, Needham & Company, Piper Jaffray, Raymond James, William Blair & Co."
1491419,IPO,"LiveXLive Media, Inc.","Beverly Hills, CA",LXL,NYSE,2017-05-11,4,-,$23.0 mil.,"BMO Capital Markets, JMP Securities, Craig-Hallum Capital Group"
1703887,IPO,Advantage Solutions Inc.,"Irvine, CA",ADV,NYSE,2017-05-04,-,-,$100.0 mil.,"Goldman Sachs & Co., Morgan Stanley"
1351636,IPO,"ShotSpotter, Inc.","Newark, CA",SSTI,Nasdaq NM,2017-05-02,10,12,$38.6 mil.,"Roth Capital Partners, Northland Capital Markets, Imperial Capital"
18169,IPO,Dole Food Company Inc.,"Westlake Village, CA",,,2017-04-25,-,-,$100.0 mil.,"Morgan Stanley, BofA Merrill Lynch, Deutsche Bank Securities"
1574197,IPO,"Five Point Holdings, LLC","Aliso Viejo, CA",FPH,NYSE,2017-04-07,18,20,$483.0 mil.,"Citigroup, J.P. Morgan, RBC Capital Markets, Wells Fargo Securities, Deutsche Bank Securities, Evercore ISI, Zelman Partners LLC, JMP Securities"
1579214,IPO,"Emerald Expositions Events, Inc.","San Juan Capistrano, CA",EEX,NYSE,2017-03-31,18,20,$356.5 mil.,"BofA Merrill Lynch, Barclays Capital, Goldman Sachs & Co., Citigroup, Credit Suisse, Deutsche Bank Securities, RBC Capital Markets, Baird"
1535379,IPO,"Cloudera, Inc.","Palo Alto, CA",CLDR,NYSE,2017-03-31,12,14,$241.5 mil.,"Morgan Stanley, J.P. Morgan, Allen & Co. Inc., BofA Merrill Lynch, Citigroup, Deutsche Bank Securities, Stifel, JMP Securities, Raymond James"
1615165,IPO,"Veritone, Inc.","Newport Beach, CA",VERI,Nasdaq NM,2017-03-15,14,16,$46.0 mil.,"Wunderlich Securities, Craig-Hallum Capital Group, Northland Capital Markets"
1660134,IPO,"Okta, Inc.","San Francisco, CA",OKTA,Nasdaq NM,2017-03-13,15,17,$215.1 mil.,"Goldman Sachs & Co., J.P. Morgan, Allen & Co. Inc., Pacific Crest Securities, Canaccord Genuity   , JMP Securities"
1419041,IPO,Tocagen Inc.,"San Diego, CA",TOCA,Nasdaq NM,2017-03-09,10,12,$100.1 mil.,"SVB Leerink, Evercore ISI, Stifel"
1689923,IPO,"Alteryx, Inc.","Irvine, CA",AYX,NYSE,2017-02-24,12,14,$144.9 mil.,"Goldman Sachs & Co., J.P. Morgan, Pacific Crest Securities, William Blair & Co., JMP Securities, Raymond James, Cowen"
1374684,IPO,"MuleSoft, Inc.","San Francisco, CA",MULE,NYSE,2017-02-17,14,16,$209.3 mil.,"Goldman Sachs & Co., J.P. Morgan, BofA Merrill Lynch, Allen & Co. Inc., Barclays Capital, Jefferies, Canaccord Genuity   , Piper Jaffray, William Blair & Co."
1136174,IPO,"Catasys, Inc.","Los Angeles, CA",CATS,Nasdaq NM,2017-02-10,8.4,-,$15.0 mil.,Joseph Gunnar & Co LLC
1564408,IPO,Snap Inc.,"Venice, CA",SNAP,NYSE,2017-02-02,14,16,"$3,680.0 mil.","Morgan Stanley, Goldman Sachs & Co., J.P. Morgan, Deutsche Bank Securities, Barclays Capital, Credit Suisse, Allen & Co. Inc."
1688941,IPO,"Foundation Building Materials, Inc.","Tustin, CA",FBM,NYSE,2017-01-13,17,19,$279.7 mil.,"Deutsche Bank Securities, Barclays Capital, RBC Capital Markets, Citigroup, Baird, Raymond James, Stephens, Inc., SunTrust Robinson Humphrey, William Blair & Co."
1435043,IPO,"AppDynamics, Inc.","San Francisco, CA",APPD,Nasdaq NM,2016-12-28,12,14,$193.2 mil.,"Morgan Stanley, Goldman Sachs & Co., J.P. Morgan, Barclays Capital, UBS Investment Bank, Wells Fargo Securities, William Blair & Co., JMP Securities"
1682745,IPO,"Gores Holdings II, Inc.","Beverly Hills, CA",GSHTU,Nasdaq NM,2016-12-09,10,-,$431.3 mil.,Deutsche Bank Securities
1652535,IPO,"Ichor Holdings, Ltd.","Fremont, CA",ICHR,Nasdaq NM,2016-11-14,12,14,$92.6 mil.,"Deutsche Bank Securities, Stifel, RBC Capital Markets, Cowen, Needham & Company"
1677576,IPO,"Innovative Industrial Properties, Inc.","San Diego, CA",IIPR,NYSE,2016-10-17,20,-,$201.3 mil.,"Ladenburg Thalmann, Compass Point Research & Trading, LLC"
1672750,IPO,"Mota Group, Inc.","San Jose, CA",MOTA,Nasdaq NM,2016-10-05,9.99,-,$7.48 mil.,"Joseph Gunnar & Co LLC, Axiom Capital Management, Inc."
1666134,IPO,"BlackLine, Inc.","Woodland Hills, CA",BL,Nasdaq NM,2016-09-30,16,17,$168.1 mil.,"Goldman Sachs & Co., J.P. Morgan, Pacific Crest Securities, Raymond James, William Blair & Co., Baird"
1370702,IPO,"Quantenna Communications, Inc.","Fremont, CA",QTNA,Nasdaq NM,2016-09-29,14,16,$123.3 mil.,"Morgan Stanley, Barclays Capital, Deutsche Bank Securities, Needham & Company, William Blair & Co., Roth Capital Partners"
1388658,IPO,"iRhythm Technologies, Inc.","San Francisco, CA",IRTC,Nasdaq NM,2016-09-23,13,15,$107.0 mil.,"J.P. Morgan, Morgan Stanley, Canaccord Genuity   , BTIG"
1427570,IPO,"Obalon Therapeutics, Inc.","Carlsbad, CA",OBLN,Nasdaq NM,2016-09-09,14,16,$92.0 mil.,"UBS Investment Bank, Canaccord Genuity   , Stifel, BTIG"
1622345,IPO,"Polar Power, Inc.","Gardena, CA",POLA,Nasdaq NM,2016-09-09,7,8,$18.4 mil.,"Joseph Gunnar & Co LLC, Roth Capital Partners, Feltl and Company, Inc."
1385867,IPO,Coupa Software Inc.,"San Mateo, CA",COUP,Nasdaq NM,2016-09-08,16,18,$153.2 mil.,"Morgan Stanley, J.P. Morgan, Barclays Capital, RBC Capital Markets, JMP Securities, Raymond James"
1674930,IPO,"Fulgent Genetics, Inc.","Temple City, CA",FLGT,Nasdaq NM,2016-09-02,9,11,$53.1 mil.,"Credit Suisse, Piper Jaffray, Raymond James, BTIG"
1600033,IPO,"e.l.f. Beauty, Inc.","Oakland, CA",ELF,NYSE,2016-08-26,14,16,$153.3 mil.,"J.P. Morgan, Morgan Stanley, Piper Jaffray, Wells Fargo Securities, William Blair & Co., Cowen, BMO Capital Markets, Stifel, SunTrust Robinson Humphrey"
1671854,IPO,Saban Capital Acquisition Corp.,"Los Angeles, CA",SCACU,Nasdaq NM,2016-08-23,10,-,$230.0 mil.,"Deutsche Bank Securities, Goldman Sachs & Co."
1671933,IPO,"Trade Desk, Inc.","Ventura, CA",TTD,Nasdaq NM,2016-08-22,16,18,$96.6 mil.,"Citigroup, Jefferies, RBC Capital Markets, Needham & Company, Raymond James"
1272842,IPO,"Airgain, Inc.","San Diego, CA",AIRG,Nasdaq NM,2016-07-15,9,10,$17.3 mil.,"Northland Capital Markets, Wunderlich Securities"
1377121,IPO,"Protagonist Therapeutics, Inc.","Milpitas, CA",PTGX,Nasdaq NM,2016-07-11,11,13,$87.2 mil.,"SVB Leerink, Barclays Capital, BMO Capital Markets"
1656589,IPO,FOTV Media Networks Inc.,"Beverly Hills, CA",FOTV,Nasdaq NM,2016-07-05,8,-,$34.5 mil.,"Bonwick Capital Partners LLC, Network 1 Financial Securities, Inc."
1420520,IPO,Atomera Inc,"Los Gatos, CA",ATMR,Nasdaq NM,2016-06-30,7.5,-,$27.6 mil.,National Securities
